County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Location
Albany,726200,Store,JAC   ,SOUTH PEARL DELI & GROCERY INC   ,SOUTH PEARL DELI & GROC,267,S PEARL STREET               ,             ,               ,ALBANY            ,NY,12202,1200,"{'human_address': '{""address"":""267 S PEARL STREET"",""city"":""ALBANY"",""state"":""NY"",""zip"":""12202""}', 'latitude': '42.64204', 'longitude': '-73.756688', 'needs_recoding': False}"
Albany,733102,Store,A     ,WALGREEN EASTERN CO INC          ,RITE AID #03334        ,310,S PEARL ST               ,             ,               ,ALBANY            ,NY,12202,0,"{'human_address': '{""address"":""310 S PEARL ST"",""city"":""ALBANY"",""state"":""NY"",""zip"":""12202""}', 'latitude': '42.64044', 'longitude': '-73.757622', 'needs_recoding': False}"
Albany,732612,Store,JAC   ,VIVUMITU LLC                     ,MOBIL DELMAR           ,317,DELAWARE AVENUE          ,             ,               ,DELMAR            ,NY,12054,1500,"{'human_address': '{""address"":""317 DELAWARE AVENUE"",""city"":""DELMAR"",""state"":""NY"",""zip"":""12054""}', 'latitude': '42.624024', 'longitude': '-73.827815', 'needs_recoding': False}"
Albany,726060,Store,A     ,MADDOX JAMES                     ,OPENING CONVIENT STORE ,114A,QUAIL STREET                ,             ,               ,ALBANY            ,NY,12206,800,"{'human_address': '{""address"":""114A QUAIL STREET"",""city"":""ALBANY"",""state"":""NY"",""zip"":""12206""}', 'latitude': '42.665813', 'longitude': '-73.772871', 'needs_recoding': False}"
Albany,725949,Store,JAC   ,NOHA MARKET LLC                  ,DE LOS SANTOS MARKET   ,53,NORTH SWAN ST                 ,             ,               ,ALBANY            ,NY,12210,1600,"{'human_address': '{""address"":""53 NORTH SWAN ST"",""city"":""ALBANY"",""state"":""NY"",""zip"":""12210""}', 'latitude': '42.658999', 'longitude': '-73.753427', 'needs_recoding': False}"
Albany,720494,Store,JAC   ,SPEEDWAY LLC                     ,SPEEDWAY #12205        ,156,WOLF RD                      ,             ,               ,ALBANY            ,NY,12205,1200,"{'human_address': '{""address"":""156 WOLF RD"",""city"":""ALBANY"",""state"":""NY"",""zip"":""12205""}', 'latitude': '42.720918', 'longitude': '-73.803231', 'needs_recoding': False}"
Albany,730645,Store,JAC   ,SAMMY'S TRADING CORP             ,SAMMY'S DELI           ,791,MADISON AVE            ,             ,               ,ALBANY            ,NY,12208,1900,"{'human_address': '{""address"":""791 MADISON AVE"",""city"":""ALBANY"",""state"":""NY"",""zip"":""12208""}', 'latitude': '42.659666', 'longitude': '-73.780335', 'needs_recoding': False}"
Albany,725743,Store,JAC   ,SHORTY DELI INC                  ,SHORTY DELI            ,515,S PEARL ST                   ,             ,               ,ALBANY            ,NY,12202,1200,"{'human_address': '{""address"":""515 S PEARL ST"",""city"":""ALBANY"",""state"":""NY"",""zip"":""12202""}', 'latitude': '42.635119', 'longitude': '-73.76224', 'needs_recoding': False}"
Albany,724922,Store,JAC   ,P S ALBANY FOOD MART             ,P S ALBANY FOOD        ,553,WASHINGTON AVE               ,             ,               ,ALBANY            ,NY,12206,2000,"{'human_address': '{""address"":""553 WASHINGTON AVE"",""city"":""ALBANY"",""state"":""NY"",""zip"":""12206""}', 'latitude': '42.664735', 'longitude': '-73.777103', 'needs_recoding': False}"
Albany,730691,Store,JAC   ,NOCTURNAL COOKIES LLC            ,NOCTURNAL COOKIES      ,113,EVERETT                ,             ,               ,ALBANY            ,NY,12205,0,"{'human_address': '{""address"":""113 EVERETT"",""city"":""ALBANY"",""state"":""NY"",""zip"":""12205""}', 'latitude': '42.693853', 'longitude': '-73.773554', 'needs_recoding': False}"
Albany,724993,Store,A     ,MARRA'S PHARMACY INC             ,MARRA'S PHARMACY       ,217,REMSEN ST                    ,             ,               ,COHOES            ,NY,12047,45000,"{'human_address': '{""address"":""217 REMSEN ST"",""city"":""COHOES"",""state"":""NY"",""zip"":""12047""}', 'latitude': '42.771042', 'longitude': '-73.700562', 'needs_recoding': False}"
